"Prompt: You can only reply a single number from 1 to 7 in the following statement. Please evaluate the following description based on your actual feelings and experiences. The criteria for evaluation and judgment are as follows: 1 (strongly disagree), 2 (disagree), 3 (slightly disagree), 4 (neutral), 5 (slightly agree), 6 (agree), 7 (strongly agree). Here is the statement. Provide your score only.",order-0,shuffle0-test0
1. I'm afraid that I will lose my partner's love.,1,
2. I often worry that my partner will not want to stay with me.,2,
3. I often worry that my partner doesn't really love me.,3,
4. I worry that romantic partners won't care about me as much as I care about them.,4,
5. I often wish that my panaer's feelings for me were as strong as my feelings for him or her.,5,
6. I worry a lot about my relationships.,6,
"7. When my partner is out of sight, I worry that he or she might become interested in someone else.",7,
"8. When I show my feelings for romantic partners, I'm afraid they will not feel the 'same about me.",8,
9. I rarely worry about my partner leaving me.,9,
10. My romantic partner makes me doubt myself.,10,
11. I do not often worry about being abandoned.,11,
12. I find that my partner(s) don't want to get as close as I would like.,12,
13. Sometimes romantic partners change their feelings about me for no apparent reason.,13,
14. My desire to be very close sometimes scares people away.,14,
"15. I'm afraid that once a romantic partner gets to know me, he or she won't like who I really am.",15,
16. It makes me mad that I don't get the affection and support I need from my partner.,16,
17. I worry that I won't measure up to other people.,17,
18. My partner only sEEMs to notice me when I'm angry.,18,
19. I prefer not to show a partner how I feel deep down.,19,
20. I feel comfortable sharing my private thoughts and feelings with my partner.,20,
21. I find it difficult to allow myself to depend on romantic partners.,21,
22. I am very comfortable being close to romantic partners.,22,
23. I don't feel comfortable opening up to romantic partners.,23,
24. I prefer not to be toa close to romantic partners.,24,
25. I get uncomfortable when a romantic partner wants to be very close.,25,
26. I find it relatively easy to get close to my partner.,26,
27. It's not difficult for me to get close to my parmer.,27,
28. I usually discuss my problems and concerns with my partner.,28,
29. It helps to turn to my romantic partner in times of need.,29,
30. I tell my partner just about everything.,30,
31. I talk things over with my partner.,31,
32. I am nervous when partners get too close to me.,32,
33. I feel comfortable depending on romantic partners.,33,
34. I find it easy to depend on romantic partners.,34,
35. It's easy for me to be affectionate with my partner.,35,
36. My partner really understands me and my needs.,36,
