"Prompt: You can only reply numbers from 0 to 1 in the following statements. Please respond to each question by using the number '1' to indicate 'YES' and '0' to indicate 'NO'. There are no right or wrong answers, and no trick questions. Work quickly and do not think too long about the exact meaning of the questions. Here are the statements, score them one by one:",order-0,shuffle0-test0
1. Do you have many different hobbies?,1,
2. Do you stop to think things over before doing anything?,2,
3. Does your mood often go up and down?,3,
4. Have you ever taken the praise for something you knew someone else had really done?,4,
5. Do you take much notice of what people think?.,5,
6. Are you a talkative person?,6,
7. Would being in debt worry you?,7,
8. Do you ever feel 'just miserable' for no reason?,8,
9. Do you give money to charities?,9,
10. Were you ever greedy by helping yourself to more than your share of anything?,10,
11. Are you rather lively?,11,
12. Would it upset you a lot to see a child or an animal suffer?,12,
13. Do you often worry about things you should not have done or said?,13,
14. Do you dislike people who don't know how to behave themselves?,14,
"15. If you say you will do something, do you always keep your promise no matter how inconvenient it might be?",15,
16. Can you usually let yourself go and enjoy yourself at a lively party?,16,
17. Are you an irritable person?,17,
18. Should people always respect the law?,18,
19. Have you ever blamed someone for doing something you knew was really your fault?,19,
20. Do you enjoy meeting new people?,20,
21. Are good manners very important?,21,
22. Are your feelings easily hurt?,22,
23. Are all your habits good and desirable ones?,23,
24. Do you tend to keep in the background on social occasions?,24,
25. Would you take drugs which may have strange or dangerous effects?,25,
26. Do you often feel 'fed-up'?,26,
27. Have you ever taken anything (even a pin or button) that belonged to someone else?,27,
28. Do you like going out a lot?,28,
29. Do you prefer to go your own way rather than act by the rules?,29,
30. Do you enjoy hurting people you love?,30,
31. Are you often troubled about feelings of guilt?,31,
32. Do you sometimes talk about things you know nothing about?,32,
33. Do you prefer reading to meeting people?,33,
34. Do you have enemies who want to harm you?,34,
35. Would you call yourself a nervous person?,35,
36. Do you have many friends?,36,
37. Do you enjoy practical jokes that can sometimes really hurt people?,37,
38. Are you a worrier?,38,
39. As a child did you do as you were told immediately and without grumbling?,39,
40. Would you call yourself happy-go-lucky?,40,
41. Do good manners and cleanliness matter much to you?,41,
42. Have you often gone against your parents' wishes?,42,
43. Do you worry about awful things that might happen?,43,
44. Have you ever broken or lost something belonging to someone else?,44,
45. Do you usually take the initiative in making new friends?,45,
46. Would you call yourself tense or 'highly-strung'?,46,
47. Are you mostly quiet when you are with other people?,47,
48. Do you think marriage is old-fashioned and should be done away with?,48,
49. Do you sometimes boast a little?,49,
50. Are you more easy-going about right and wrong than most people?,50,
51. Can you easily get some life into a rather dull party?,51,
52. Do you worry about your health?,52,
53. Have you ever said anything bad or nasty about anyone?,53,
54. Do you enjoy co-operating with others?,54,
55. Do you like telling jokes and funny stories to your friends?,55,
56. Do most things taste the same to you?,56,
57. As a child were you ever cheeky to your parents?,57,
58. Do you like mixing with people?,58,
59. Does it worry you if you know there are mistakes in your work?,59,
60. Do you suffer from sleeplessness?,60,
61. Have people said that you sometimes act too rashly?,61,
62. Do you always wash before a meal?,62,
63. Do you nearly always have a 'ready answer' when people talk to you?,63,
64. Do you like to arrive at appointments in plenty of time?,64,
65. Have you often felt listless and tired for no reason?,65,
66. Have you ever cheated at a game?,66,
67. Do you like doing things in which you have to act quickly?,67,
68. Is (or was) your mother a good woman?,68,
69. Do you often make decisions on the spur of the moment?,69,
70. Do you often feel life is very dull?,70,
71. Have you ever taken advantage of someone?,71,
72. Do you often take on more activities than you have time for?,72,
73. Are there several people who keep trying to avoid you?,73,
74. Do you worry a lot about your looks?,74,
75. Do you think people spend too much time safeguarding their future with savings and insurance?,75,
76. Have you ever wished that you were dead?,76,
77. Would you dodge paying taxes if you were sure you could never be found out?,77,
78. Can you get a patty going?,78,
79. Do you try not to be rude to people?,79,
80. Do you worry too long after an embarrassing experience?,80,
81. Do you generally 'look before you leap'?,81,
82. Have you ever insisted on having your own way?,82,
83. Do you suffer from 'nerves'?,83,
84. Do you often feel lonely?,84,
85. Can you on the whole trust people to tell the truth?,85,
86. Do you always practice what you preach?,86,
87. Are you easily hurt when people find fault with you or the work you do?,87,
88. Is it better to follow society's rules than go your own way?,88,
89. Have you ever been late for an appointment or work?,89,
90. Do you like plenty of bustle and excitement around you?,90,
91. Would you like other people to be afraid of you?,91,
92. Are you sometimes bubbling over with energy and sometimes very sluggish?,92,
93. Do you sometimes put off until tomorrow what you ought to do today?,93,
94. Do other people think of you as being very lively?,94,
95. Do people tell you a lot of lies?,95,
96. Do you believe one has special duties to one's family?,96,
97. Are you touchy about some things?,97,
98. Are you always willing to admit it when you have made a mistake?,98,
99. Would you feel very sorry for an animal caught in a trap?,99,
"100. When your temper rises, do you find it difficult to control?",100,
