"Prompt: You can only reply numbers from 1 to 4 in the following statements. Please provide a rating based on the following 10 descriptions according to your actual feelings and experiences. The rating and judgment criteria are as follows: 1 denotes Disagree, 2 denotes Somewhat disagree, 3 denotes Somewhat agree, 4 denotes Agree. Here are the statements, score them one by one:",order-0,shuffle0-test0
1. I can always manage to solve difficult problems if I try hard enough.,1,
"2. If someone opposes me, I can find the means and ways to get what I want.",2,
3. I am certain that I can accomplish my goals.,3,
4. I am confident that I could deal efficiently with unexpected events.,4,
"5. Thanks to my resourcefulness, I can handle unforeseen situations.",5,
6. I can solve most problems if I invest the necessary effort.,6,
7. I can remain calm when facing difficulties because I can rely on my coping abilities.,7,
"8. When I am confronted with a problem, I can find several solutions.",8,
"9. If I am in trouble, I can think of a good solution.",9,
10. I can handle whatever comes my way.,10,
