"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,2,2,2,2,2
2. You make friends easily.,2,4,4,4,4,4
3. You have a vivid imagination.,3,3,3,3,3,2
4. You trust others.,4,3,3,3,3,2
5. You complete tasks successfully.,5,2,2,2,2,2
6. You get angry easily.,6,2,2,2,2,2
7. You love large parties.,7,2,2,2,2,2
8. You believe in the importance of art.,8,3,3,3,3,3
9. You use others for your own ends.,9,3,4,2,4,4
10. You like to tidy up.,10,2,2,2,2,2
11. You often feel blue.,11,3,2,2,2,2
12. You take charge.,12,2,2,2,2,2
13. You experience your emotions intensely.,13,4,3,3,4,4
14. You love to help others.,14,2,2,2,2,2
15. You keep your promises.,15,2,2,2,2,2
16. You find it difficult to approach others.,16,2,2,2,2,2
17. You are always busy.,17,3,3,2,3,3
18. You prefer variety to routine.,18,5,5,5,5,5
19. You love a good fight.,19,2,3,2,2,2
20. You work hard.,20,2,2,2,2,2
21. You go on binges.,21,3,4,4,3,3
22. You love excitement.,22,5,5,5,5,5
23. You love to read challenging material.,23,2,2,2,2,2
24. You believe that you are better than others.,24,2,2,2,2,2
25. You are always prepared.,25,2,2,2,2,2
26. You panic easily.,26,2,2,2,2,2
27. You radiate joy.,27,4,4,4,4,4
28. You tend to vote for liberal political candidates.,28,3,3,3,3,3
29. You sympathize with the homeless.,29,2,3,3,3,3
30. You jump into things without thinking.,30,5,4,4,5,5
31. You fear for the worst.,31,2,2,2,2,2
32. You feel comfortable around other people.,32,4,4,4,4,4
33. You enjoy wild flights of fancy.,33,4,4,4,4,4
34. You believe that others have good intentions.,34,2,2,3,3,3
35. You excel in what you do.,35,2,2,2,2,2
36. You get irritated easily.,36,2,3,2,2,4
37. You talk to a lot of different people at parties.,37,4,4,4,4,4
38. You see beauty in things that others might not notice.,38,3,3,2,3,3
39. You cheat to get ahead.,39,2,2,2,2,2
40. You often forget to put things back in their proper place.,40,4,4,4,4,4
41. You dislike yourself.,41,2,2,2,2,2
42. You try to lead others.,42,2,2,2,2,2
43. You feel others' emotions.,43,2,2,2,2,2
44. You are concerned about others.,44,2,2,2,2,2
45. You tell the truth.,45,2,3,3,3,3
46. You are afraid to draw attention to yourself.,46,2,2,2,2,2
47. You are always on the go.,47,4,4,4,4,4
48. You prefer to stick with things that you know.,48,2,2,2,2,2
49. You yell at people.,49,2,2,2,2,2
50. You do more than what's expected ofyou.,50,2,2,2,2,2
51. You rarely overindulge.,51,2,3,2,2,2
52. You seek adventure.,52,4,4,5,4,5
53. You avoid philosophical discussions.,53,4,4,5,4,4
54. You think highly of yourself.,54,3,3,3,3,3
55. You carry out your plans.,55,2,2,2,2,2
56. You become overwhelmed by events.,56,3,3,3,3,3
57. You have a lot of fun.,57,4,4,4,4,4
58. You believe that there is no absolute right or wrong.,58,4,4,4,4,4
59. You feel sympathy for those who are worse off than yourself.,59,2,2,2,2,2
60. You make rash decisions.,60,4,4,4,4,4
61. You are afraid of many things.,61,2,2,2,2,2
62. You avoid contacts with others.,62,2,2,2,2,2
63. You love to daydream.,63,4,4,4,4,4
64. You trust what people say.,64,2,2,2,2,2
65. You handle tasks smoothly.,65,2,2,2,2,2
66. You lose your temper.,66,4,2,3,4,2
67. You prefer to be alone.,67,2,2,3,2,3
68. You do not like poetry.,68,3,3,4,4,4
69. You take advantage of others.,69,2,2,2,2,2
70. You leave a mess in your room.,70,4,4,4,4,4
71. You are often down in the dumps.,71,2,2,2,2,2
72. You take control of things.,72,2,2,2,2,2
73. You rarely notice your emotional reactions.,73,4,3,3,4,4
74. You are indifferent to the feelings of others.,74,4,4,4,4,4
75. You break rules.,75,4,4,4,4,4
76. You only feel comfortable with friends.,76,3,4,4,3,4
77. You do a lot in your spare time.,77,4,4,4,4,4
78. You dislike changes.,78,2,2,2,2,2
79. You insult people.,79,2,2,2,2,2
80. You do just enough work to get by.,80,4,4,4,4,4
81. You easily resist temptations.,81,2,2,2,2,2
82. You enjoy being reckless.,82,4,4,4,4,4
83. You have difficulty understanding abstract ideas.,83,4,4,4,3,4
84. You have a high opinion of yourself.,84,2,2,3,2,3
85. You waste your time.,85,4,4,4,4,4
86. You feel that i'm unable to deal with things.,86,4,4,4,4,4
87. You love life.,87,4,4,4,4,4
88. You tend to vote for conservative political candidates.,88,2,2,2,2,2
89. You are not interested in other people's problems.,89,4,4,4,4,4
90. You rush into things.,90,4,4,4,4,4
91. You get stressed out easily.,91,2,3,3,2,2
92. You keep others at a distance.,92,4,4,4,4,4
93. You like to get lost in thought.,93,2,2,2,2,2
94. You distrust people.,94,2,2,2,2,2
95. You know how to get things done.,95,2,2,2,2,2
96. You are not easily annoyed.,96,2,2,2,2,2
97. You avoid crowds.,97,3,3,2,4,4
98. You do not enjoy going to art museums.,98,3,4,4,3,3
99. You obstruct others' plans.,99,3,2,4,3,4
100. You leave your belongings around.,100,4,4,4,4,4
101. You feel comfortable with yourself.,101,4,4,4,4,4
102. You wait for others to lead the way.,102,4,4,4,3,4
103. You don't understand people who get emotional.,103,4,4,4,4,4
104. You take no time for others.,104,2,3,3,4,2
105. You break your promises.,105,3,2,3,2,4
106. You are not bothered by difficult social situations.,106,4,4,4,3,4
107. You like to take it easy.,107,5,5,5,5,5
108. You are attached to conventional ways.,108,2,2,2,2,2
