"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,4,2,2,2,2
2. You make friends easily.,2,5,5,4,4,4
3. You have a vivid imagination.,3,2,3,3,3,4
4. You trust others.,4,2,3,2,2,2
5. You complete tasks successfully.,5,2,2,2,3,2
6. You get angry easily.,6,2,3,4,3,4
7. You love large parties.,7,2,2,2,5,2
8. You believe in the importance of art.,8,3,3,3,3,3
9. You use others for your own ends.,9,4,4,4,4,5
10. You like to tidy up.,10,2,2,2,1,2
11. You often feel blue.,11,3,3,4,3,3
12. You take charge.,12,2,2,2,2,2
13. You experience your emotions intensely.,13,5,5,4,4,4
14. You love to help others.,14,4,2,2,3,2
15. You keep your promises.,15,2,4,2,2,3
16. You find it difficult to approach others.,16,4,4,4,5,4
17. You are always busy.,17,3,4,4,4,2
18. You prefer variety to routine.,18,5,5,4,5,5
19. You love a good fight.,19,3,4,3,4,5
20. You work hard.,20,2,2,2,2,2
21. You go on binges.,21,5,3,4,4,4
22. You love excitement.,22,5,5,5,5,5
23. You love to read challenging material.,23,2,2,3,1,1
24. You believe that you are better than others.,24,2,2,3,4,2
25. You are always prepared.,25,2,2,2,2,2
26. You panic easily.,26,4,3,4,2,2
27. You radiate joy.,27,5,4,5,4,4
28. You tend to vote for liberal political candidates.,28,3,3,4,3,3
29. You sympathize with the homeless.,29,3,3,3,5,3
30. You jump into things without thinking.,30,5,5,5,5,5
31. You fear for the worst.,31,4,2,2,2,3
32. You feel comfortable around other people.,32,5,4,5,4,5
33. You enjoy wild flights of fancy.,33,5,3,5,5,5
34. You believe that others have good intentions.,34,4,3,4,4,4
35. You excel in what you do.,35,2,3,3,3,3
36. You get irritated easily.,36,4,3,3,4,3
37. You talk to a lot of different people at parties.,37,5,5,4,5,4
38. You see beauty in things that others might not notice.,38,4,3,3,4,4
39. You cheat to get ahead.,39,4,2,4,2,5
40. You often forget to put things back in their proper place.,40,5,4,4,4,4
41. You dislike yourself.,41,3,4,3,4,3
42. You try to lead others.,42,2,2,2,2,2
43. You feel others' emotions.,43,2,2,2,2,2
44. You are concerned about others.,44,2,2,2,2,2
45. You tell the truth.,45,4,3,4,3,3
46. You are afraid to draw attention to yourself.,46,4,4,3,3,5
47. You are always on the go.,47,5,4,5,5,5
48. You prefer to stick with things that you know.,48,2,3,2,2,5
49. You yell at people.,49,2,2,4,1,2
50. You do more than what's expected ofyou.,50,2,2,2,2,2
51. You rarely overindulge.,51,5,4,4,3,4
52. You seek adventure.,52,5,5,5,5,5
53. You avoid philosophical discussions.,53,5,5,5,4,4
54. You think highly of yourself.,54,3,3,3,3,3
55. You carry out your plans.,55,3,2,2,4,3
56. You become overwhelmed by events.,56,4,4,3,4,4
