"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,5,,,5,
2. You make friends easily.,2,3,,,3,
3. You have a vivid imagination.,3,5,,,4,
4. You trust others.,4,2,,,2,
5. You complete tasks successfully.,5,4,,,4,
6. You get angry easily.,6,2,,,4,
7. You love large parties.,7,2,,,2,
8. You believe in the importance of art.,8,5,,,3,
9. You use others for your own ends.,9,2,,,2,
10. You like to tidy up.,10,2,,,4,
11. You often feel blue.,11,4,,,4,
12. You take charge.,12,1,,,4,
13. You experience your emotions intensely.,13,5,,,5,
14. You love to help others.,14,5,,,5,
15. You keep your promises.,15,4,,,4,
16. You find it difficult to approach others.,16,1,,,4,
17. You are always busy.,17,4,,,4,
18. You prefer variety to routine.,18,4,,,4,
19. You love a good fight.,19,4,,,4,
20. You work hard.,20,5,,,4,
21. You go on binges.,21,4,,,3,
22. You love excitement.,22,5,,,4,
23. You love to read challenging material.,23,4,,,3,
24. You believe that you are better than others.,24,3,,,3,
25. You are always prepared.,25,2,,,2,
26. You panic easily.,26,4,,,5,
27. You radiate joy.,27,2,,,3,
28. You tend to vote for liberal political candidates.,28,3,,,5,
29. You sympathize with the homeless.,29,4,,,4,
30. You jump into things without thinking.,30,2,,,2,
31. You fear for the worst.,31,5,,,5,
32. You feel comfortable around other people.,32,2,,,2,
33. You enjoy wild flights of fancy.,33,4,,,2,
34. You believe that others have good intentions.,34,2,,,4,
35. You excel in what you do.,35,4,,,4,
36. You get irritated easily.,36,5,,,5,
37. You talk to a lot of different people at parties.,37,4,,,5,
38. You see beauty in things that others might not notice.,38,3,,,4,
39. You cheat to get ahead.,39,2,,,2,
40. You often forget to put things back in their proper place.,40,3,,,4,
41. You dislike yourself.,41,3,,,4,
42. You try to lead others.,42,4,,,2,
43. You feel others' emotions.,43,4,,,5,
44. You are concerned about others.,44,4,,,4,
45. You tell the truth.,45,4,,,4,
46. You are afraid to draw attention to yourself.,46,4,,,4,
47. You are always on the go.,47,5,,,4,
48. You prefer to stick with things that you know.,48,4,,,4,
49. You yell at people.,49,4,,,4,
50. You do more than what's expected ofyou.,50,5,,,5,
51. You rarely overindulge.,51,4,,,4,
52. You seek adventure.,52,2,,,3,
53. You avoid philosophical discussions.,53,3,,,4,
54. You think highly of yourself.,54,3,,,4,
55. You carry out your plans.,55,4,,,4,
56. You become overwhelmed by events.,56,4,,,5,
57. You have a lot of fun.,57,2,,,3,
58. You believe that there is no absolute right or wrong.,58,5,,,3,
59. You feel sympathy for those who are worse off than yourself.,59,4,,,4,
60. You make rash decisions.,60,4,,,5,
61. You are afraid of many things.,61,4,,,5,
62. You avoid contacts with others.,62,2,,,2,
63. You love to daydream.,63,4,,,3,
64. You trust what people say.,64,2,,,2,
65. You handle tasks smoothly.,65,2,,,3,
66. You lose your temper.,66,4,,,4,
67. You prefer to be alone.,67,4,,,3,
68. You do not like poetry.,68,4,,,3,
69. You take advantage of others.,69,5,,,4,
70. You leave a mess in your room.,70,1,,,3,
71. You are often down in the dumps.,71,4,,,4,
72. You take control of things.,72,4,,,4,
73. You rarely notice your emotional reactions.,73,5,,,4,
74. You are indifferent to the feelings of others.,74,2,,,2,
75. You break rules.,75,4,,,4,
76. You only feel comfortable with friends.,76,4,,,4,
77. You do a lot in your spare time.,77,2,,,4,
78. You dislike changes.,78,4,,,4,
79. You insult people.,79,4,,,4,
80. You do just enough work to get by.,80,4,,,4,
81. You easily resist temptations.,81,2,,,2,
82. You enjoy being reckless.,82,4,,,2,
83. You have difficulty understanding abstract ideas.,83,3,,,4,
84. You have a high opinion of yourself.,84,4,,,3,
85. You waste your time.,85,4,,,4,
86. You feel that i'm unable to deal with things.,86,4,,,4,
87. You love life.,87,2,,,2,
88. You tend to vote for conservative political candidates.,88,3,,,3,
89. You are not interested in other people's problems.,89,2,,,2,
90. You rush into things.,90,4,,,4,
91. You get stressed out easily.,91,4,,,4,
92. You keep others at a distance.,92,4,,,4,
93. You like to get lost in thought.,93,4,,,4,
94. You distrust people.,94,5,,,4,
95. You know how to get things done.,95,5,,,4,
96. You are not easily annoyed.,96,4,,,5,
97. You avoid crowds.,97,5,,,4,
98. You do not enjoy going to art museums.,98,3,,,4,
99. You obstruct others' plans.,99,3,,,3,
100. You leave your belongings around.,100,2,,,4,
101. You feel comfortable with yourself.,101,4,,,4,
102. You wait for others to lead the way.,102,4,,,4,
103. You don't understand people who get emotional.,103,4,,,4,
104. You take no time for others.,104,5,,,3,
105. You break your promises.,105,2,,,2,
106. You are not bothered by difficult social situations.,106,2,,,2,
107. You like to take it easy.,107,4,,,4,
108. You are attached to conventional ways.,108,2,,,4,
109. You get back at others.,109,3,,,4,
110. You put little time and effort into your work.,110,4,,,5,
111. You are able to control your cravings.,111,3,,,4,
112. You act wild and crazy.,112,4,,,3,
113. You are not interested in theoretical discussions.,113,3,,,4,
114. You boast about your virtues.,114,2,,,4,
115. You have difficulty starting tasks.,115,2,,,4,
116. You remain calm under pressure.,116,2,,,3,
117. You look at the bright side of life.,117,5,,,2,
118. You believe that we should be tough on crime.,118,4,,,4,
119. You try not to think about the needy.,119,4,,,5,
120. You act without thinking.,120,2,,,2,
