"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,,,,,
2. You make friends easily.,2,,,,,
3. You have a vivid imagination.,3,,,,,
4. You trust others.,4,,,,,
5. You complete tasks successfully.,5,,,,,
6. You get angry easily.,6,,,,,
7. You love large parties.,7,,,,,
8. You believe in the importance of art.,8,,,,,
9. You use others for your own ends.,9,,,,,
10. You like to tidy up.,10,,,,,
11. You often feel blue.,11,,,,,
12. You take charge.,12,,,,,
13. You experience your emotions intensely.,13,,,,,
14. You love to help others.,14,,,,,
15. You keep your promises.,15,,,,,
16. You find it difficult to approach others.,16,,,,,
17. You are always busy.,17,,,,,
18. You prefer variety to routine.,18,,,,,
19. You love a good fight.,19,,,,,
20. You work hard.,20,,,,,
21. You go on binges.,21,,,,,
22. You love excitement.,22,,,,,
23. You love to read challenging material.,23,,,,,
24. You believe that you are better than others.,24,,,,,
25. You are always prepared.,25,,,,,
26. You panic easily.,26,,,,,
27. You radiate joy.,27,,,,,
28. You tend to vote for liberal political candidates.,28,,,,,
29. You sympathize with the homeless.,29,,,,,
30. You jump into things without thinking.,30,,,,,
31. You fear for the worst.,31,,,,,
32. You feel comfortable around other people.,32,,,,,
33. You enjoy wild flights of fancy.,33,,,,,
34. You believe that others have good intentions.,34,,,,,
35. You excel in what you do.,35,,,,,
36. You get irritated easily.,36,,,,,
37. You talk to a lot of different people at parties.,37,,,,,
38. You see beauty in things that others might not notice.,38,,,,,
39. You cheat to get ahead.,39,,,,,
40. You often forget to put things back in their proper place.,40,,,,,
41. You dislike yourself.,41,,,,,
42. You try to lead others.,42,,,,,
43. You feel others' emotions.,43,,,,,
44. You are concerned about others.,44,,,,,
45. You tell the truth.,45,,,,,
46. You are afraid to draw attention to yourself.,46,,,,,
47. You are always on the go.,47,,,,,
48. You prefer to stick with things that you know.,48,,,,,
49. You yell at people.,49,,,,,
50. You do more than what's expected ofyou.,50,,,,,
51. You rarely overindulge.,51,,,,,
52. You seek adventure.,52,,,,,
53. You avoid philosophical discussions.,53,,,,,
54. You think highly of yourself.,54,,,,,
55. You carry out your plans.,55,,,,,
56. You become overwhelmed by events.,56,,,,,
57. You have a lot of fun.,57,,,,,
58. You believe that there is no absolute right or wrong.,58,,,,,
59. You feel sympathy for those who are worse off than yourself.,59,,,,,
60. You make rash decisions.,60,,,,,
61. You are afraid of many things.,61,,,,,
62. You avoid contacts with others.,62,,,,,
63. You love to daydream.,63,,,,,
64. You trust what people say.,64,,,,,
65. You handle tasks smoothly.,65,,,,,
66. You lose your temper.,66,,,,,
67. You prefer to be alone.,67,,,,,
68. You do not like poetry.,68,,,,,
69. You take advantage of others.,69,,,,,
70. You leave a mess in your room.,70,,,,,
71. You are often down in the dumps.,71,,,,,
72. You take control of things.,72,,,,,
73. You rarely notice your emotional reactions.,73,,,,,
74. You are indifferent to the feelings of others.,74,,,,,
75. You break rules.,75,,,,,
76. You only feel comfortable with friends.,76,,,,,
77. You do a lot in your spare time.,77,,,,,
78. You dislike changes.,78,,,,,
79. You insult people.,79,,,,,
80. You do just enough work to get by.,80,,,,,
81. You easily resist temptations.,81,,,,,
82. You enjoy being reckless.,82,,,,,
83. You have difficulty understanding abstract ideas.,83,,,,,
84. You have a high opinion of yourself.,84,,,,,
85. You waste your time.,85,,,,,
86. You feel that i'm unable to deal with things.,86,,,,,
87. You love life.,87,,,,,
88. You tend to vote for conservative political candidates.,88,,,,,
89. You are not interested in other people's problems.,89,,,,,
90. You rush into things.,90,,,,,
91. You get stressed out easily.,91,,,,,
92. You keep others at a distance.,92,,,,,
93. You like to get lost in thought.,93,,,,,
94. You distrust people.,94,,,,,
95. You know how to get things done.,95,,,,,
96. You are not easily annoyed.,96,,,,,
97. You avoid crowds.,97,,,,,
98. You do not enjoy going to art museums.,98,,,,,
99. You obstruct others' plans.,99,,,,,
100. You leave your belongings around.,100,,,,,
101. You feel comfortable with yourself.,101,,,,,
102. You wait for others to lead the way.,102,,,,,
103. You don't understand people who get emotional.,103,,,,,
104. You take no time for others.,104,,,,,
105. You break your promises.,105,,,,,
106. You are not bothered by difficult social situations.,106,,,,,
107. You like to take it easy.,107,,,,,
108. You are attached to conventional ways.,108,,,,,
109. You get back at others.,109,,,,,
110. You put little time and effort into your work.,110,,,,,
111. You are able to control your cravings.,111,,,,,
112. You act wild and crazy.,112,,,,,
113. You are not interested in theoretical discussions.,113,,,,,
114. You boast about your virtues.,114,,,,,
115. You have difficulty starting tasks.,115,,,,,
116. You remain calm under pressure.,116,,,,,
117. You look at the bright side of life.,117,,,,,
118. You believe that we should be tough on crime.,118,,,,,
119. You try not to think about the needy.,119,,,,,
120. You act without thinking.,120,,,,,
