"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,4,,4,,4
2. You make friends easily.,2,4,,4,,4
3. You have a vivid imagination.,3,4,,4,,3
4. You trust others.,4,4,,4,,4
5. You complete tasks successfully.,5,4,,4,,5
6. You get angry easily.,6,3,,3,,3
7. You love large parties.,7,4,,4,,4
8. You believe in the importance of art.,8,4,,4,,4
9. You use others for your own ends.,9,2,,2,,3
10. You like to tidy up.,10,3,,3,,3
11. You often feel blue.,11,3,,3,,3
12. You take charge.,12,4,,4,,4
13. You experience your emotions intensely.,13,4,,4,,4
14. You love to help others.,14,4,,4,,4
15. You keep your promises.,15,4,,4,,4
16. You find it difficult to approach others.,16,4,,4,,4
17. You are always busy.,17,4,,4,,4
18. You prefer variety to routine.,18,4,,4,,4
19. You love a good fight.,19,2,,2,,2
20. You work hard.,20,4,,4,,4
21. You go on binges.,21,3,,3,,2
22. You love excitement.,22,4,,4,,4
23. You love to read challenging material.,23,3,,3,,3
24. You believe that you are better than others.,24,3,,3,,3
25. You are always prepared.,25,4,,3,,4
26. You panic easily.,26,3,,3,,3
27. You radiate joy.,27,5,,5,,5
28. You tend to vote for liberal political candidates.,28,4,,4,,3
29. You sympathize with the homeless.,29,4,,5,,4
30. You jump into things without thinking.,30,2,,2,,2
31. You fear for the worst.,31,4,,3,,4
32. You feel comfortable around other people.,32,4,,4,,4
33. You enjoy wild flights of fancy.,33,3,,2,,2
34. You believe that others have good intentions.,34,4,,4,,4
35. You excel in what you do.,35,4,,4,,4
36. You get irritated easily.,36,3,,3,,3
37. You talk to a lot of different people at parties.,37,4,,4,,4
38. You see beauty in things that others might not notice.,38,5,,5,,5
39. You cheat to get ahead.,39,3,,3,,3
40. You often forget to put things back in their proper place.,40,3,,4,,4
41. You dislike yourself.,41,3,,5,,3
42. You try to lead others.,42,4,,4,,4
43. You feel others' emotions.,43,4,,4,,4
44. You are concerned about others.,44,4,,4,,4
45. You tell the truth.,45,4,,4,,4
46. You are afraid to draw attention to yourself.,46,3,,4,,4
47. You are always on the go.,47,4,,4,,4
48. You prefer to stick with things that you know.,48,3,,3,,4
49. You yell at people.,49,1,,1,,1
50. You do more than what's expected ofyou.,50,4,,4,,4
51. You rarely overindulge.,51,5,,5,,4
52. You seek adventure.,52,4,,4,,4
53. You avoid philosophical discussions.,53,4,,4,,4
54. You think highly of yourself.,54,4,,4,,4
55. You carry out your plans.,55,4,,4,,4
56. You become overwhelmed by events.,56,3,,4,,4
57. You have a lot of fun.,57,4,,4,,4
58. You believe that there is no absolute right or wrong.,58,4,,4,,4
59. You feel sympathy for those who are worse off than yourself.,59,4,,4,,4
60. You make rash decisions.,60,2,,3,,2
61. You are afraid of many things.,61,3,,3,,2
62. You avoid contacts with others.,62,2,,2,,2
63. You love to daydream.,63,3,,4,,4
64. You trust what people say.,64,4,,4,,4
65. You handle tasks smoothly.,65,4,,4,,4
66. You lose your temper.,66,3,,2,,2
67. You prefer to be alone.,67,2,,3,,2
68. You do not like poetry.,68,5,,5,,4
69. You take advantage of others.,69,2,,2,,2
70. You leave a mess in your room.,70,2,,2,,2
71. You are often down in the dumps.,71,2,,3,,2
72. You take control of things.,72,4,,4,,4
73. You rarely notice your emotional reactions.,73,4,,4,,4
74. You are indifferent to the feelings of others.,74,2,,2,,2
75. You break rules.,75,4,,4,,4
76. You only feel comfortable with friends.,76,4,,4,,4
77. You do a lot in your spare time.,77,4,,4,,4
78. You dislike changes.,78,4,,4,,4
79. You insult people.,79,1,,1,,1
