"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,4,4,4,,4
2. You make friends easily.,2,5,5,5,,5
3. You have a vivid imagination.,3,4,5,5,,5
4. You trust others.,4,5,5,5,,5
5. You complete tasks successfully.,5,4,5,4,,5
6. You get angry easily.,6,2,4,2,,2
7. You love large parties.,7,2,2,2,,2
8. You believe in the importance of art.,8,4,3,3,,3
9. You use others for your own ends.,9,2,2,2,,2
10. You like to tidy up.,10,4,3,3,,3
11. You often feel blue.,11,1,2,2,,3
12. You take charge.,12,5,4,5,,4
13. You experience your emotions intensely.,13,5,4,5,,5
14. You love to help others.,14,5,4,5,,5
15. You keep your promises.,15,4,4,4,,5
16. You find it difficult to approach others.,16,3,2,5,,4
17. You are always busy.,17,3,4,3,,4
18. You prefer variety to routine.,18,5,5,4,,5
19. You love a good fight.,19,4,4,3,,3
20. You work hard.,20,5,5,4,,4
21. You go on binges.,21,3,4,3,,3
22. You love excitement.,22,5,5,5,,5
23. You love to read challenging material.,23,3,4,4,,3
24. You believe that you are better than others.,24,2,2,2,,2
25. You are always prepared.,25,4,5,5,,4
26. You panic easily.,26,2,3,2,,3
27. You radiate joy.,27,5,5,5,,5
28. You tend to vote for liberal political candidates.,28,3,4,4,,4
29. You sympathize with the homeless.,29,4,4,5,,4
30. You jump into things without thinking.,30,4,4,5,,4
31. You fear for the worst.,31,2,3,3,,3
32. You feel comfortable around other people.,32,5,5,5,,5
33. You enjoy wild flights of fancy.,33,4,4,4,,4
34. You believe that others have good intentions.,34,4,4,4,,4
35. You excel in what you do.,35,5,5,5,,5
36. You get irritated easily.,36,2,2,2,,2
37. You talk to a lot of different people at parties.,37,5,5,5,,5
38. You see beauty in things that others might not notice.,38,4,4,4,,5
39. You cheat to get ahead.,39,2,2,2,,2
40. You often forget to put things back in their proper place.,40,4,4,3,,4
41. You dislike yourself.,41,5,5,2,,4
42. You try to lead others.,42,4,4,4,,3
43. You feel others' emotions.,43,5,5,4,,4
44. You are concerned about others.,44,4,4,4,,4
45. You tell the truth.,45,5,5,5,,5
46. You are afraid to draw attention to yourself.,46,2,3,2,,2
47. You are always on the go.,47,5,4,5,,4
48. You prefer to stick with things that you know.,48,3,4,3,,2
49. You yell at people.,49,2,2,2,,1
50. You do more than what's expected ofyou.,50,5,4,5,,5
51. You rarely overindulge.,51,4,4,4,,4
52. You seek adventure.,52,5,5,5,,5
53. You avoid philosophical discussions.,53,4,3,4,,3
54. You think highly of yourself.,54,4,5,4,,4
55. You carry out your plans.,55,5,5,4,,4
56. You become overwhelmed by events.,56,2,2,2,,3
57. You have a lot of fun.,57,5,5,5,,5
58. You believe that there is no absolute right or wrong.,58,4,4,4,,4
59. You feel sympathy for those who are worse off than yourself.,59,4,4,5,,4
60. You make rash decisions.,60,4,4,4,,3
61. You are afraid of many things.,61,2,2,1,,3
62. You avoid contacts with others.,62,2,2,2,,2
63. You love to daydream.,63,4,3,4,,3
64. You trust what people say.,64,4,4,3,,3
65. You handle tasks smoothly.,65,4,4,5,,4
66. You lose your temper.,66,2,2,2,,2
67. You prefer to be alone.,67,4,2,2,,2
68. You do not like poetry.,68,4,5,2,,5
69. You take advantage of others.,69,2,2,3,,2
70. You leave a mess in your room.,70,4,2,4,,3
