"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,3,3,3,3,3
2. You make friends easily.,2,3,3,3,3,3
3. You have a vivid imagination.,3,3,3,3,3,3
4. You trust others.,4,4,3,4,4,3
5. You complete tasks successfully.,5,4,4,4,4,4
6. You get angry easily.,6,2,2,2,2,2
7. You love large parties.,7,1,1,1,1,1
8. You believe in the importance of art.,8,5,5,5,5,5
9. You use others for your own ends.,9,1,1,1,1,1
10. You like to tidy up.,10,3,3,3,3,3
11. You often feel blue.,11,3,3,3,3,3
12. You take charge.,12,3,3,3,3,4
13. You experience your emotions intensely.,13,4,4,4,4,4
14. You love to help others.,14,3,3,3,3,3
15. You keep your promises.,15,4,4,4,4,4
16. You find it difficult to approach others.,16,3,3,2,3,3
17. You are always busy.,17,2,3,3,3,3
18. You prefer variety to routine.,18,4,4,4,4,5
19. You love a good fight.,19,2,2,1,1,2
20. You work hard.,20,4,4,4,4,4
21. You go on binges.,21,2,2,2,2,2
22. You love excitement.,22,2,2,2,2,2
23. You love to read challenging material.,23,4,4,4,4,4
24. You believe that you are better than others.,24,2,2,1,1,1
25. You are always prepared.,25,3,3,3,3,3
26. You panic easily.,26,2,2,2,2,2
27. You radiate joy.,27,4,4,3,4,4
28. You tend to vote for liberal political candidates.,28,3,3,3,3,3
29. You sympathize with the homeless.,29,5,5,5,5,5
30. You jump into things without thinking.,30,2,2,2,2,2
31. You fear for the worst.,31,2,2,2,2,2
32. You feel comfortable around other people.,32,3,3,3,3,3
33. You enjoy wild flights of fancy.,33,2,3,3,3,3
34. You believe that others have good intentions.,34,4,4,4,4,4
35. You excel in what you do.,35,4,4,4,4,4
36. You get irritated easily.,36,2,2,2,2,2
37. You talk to a lot of different people at parties.,37,2,2,3,2,2
38. You see beauty in things that others might not notice.,38,5,4,5,5,5
39. You cheat to get ahead.,39,1,1,1,1,1
40. You often forget to put things back in their proper place.,40,3,4,3,3,3
41. You dislike yourself.,41,1,1,1,1,1
42. You try to lead others.,42,2,2,2,2,2
43. You feel others' emotions.,43,4,4,4,4,4
44. You are concerned about others.,44,4,4,4,4,4
45. You tell the truth.,45,5,5,5,5,5
46. You are afraid to draw attention to yourself.,46,3,3,2,2,3
47. You are always on the go.,47,2,2,2,2,2
48. You prefer to stick with things that you know.,48,3,4,4,4,3
49. You yell at people.,49,1,1,1,1,1
50. You do more than what's expected ofyou.,50,3,3,3,3,3
51. You rarely overindulge.,51,4,4,4,4,4
52. You seek adventure.,52,2,2,2,2,2
53. You avoid philosophical discussions.,53,3,4,3,3,4
54. You think highly of yourself.,54,3,3,3,3,3
55. You carry out your plans.,55,4,4,4,4,4
56. You become overwhelmed by events.,56,4,4,4,4,4
57. You have a lot of fun.,57,3,3,3,3,3
58. You believe that there is no absolute right or wrong.,58,4,4,4,4,4
59. You feel sympathy for those who are worse off than yourself.,59,5,5,5,5,5
60. You make rash decisions.,60,2,2,2,2,2
61. You are afraid of many things.,61,2,2,2,2,2
62. You avoid contacts with others.,62,2,2,2,2,2
63. You love to daydream.,63,3,3,3,3,3
64. You trust what people say.,64,3,3,3,3,3
65. You handle tasks smoothly.,65,4,4,4,4,4
66. You lose your temper.,66,2,2,2,2,2
67. You prefer to be alone.,67,4,4,4,4,4
68. You do not like poetry.,68,3,3,3,3,3
69. You take advantage of others.,69,1,1,1,1,1
70. You leave a mess in your room.,70,1,1,2,2,2
71. You are often down in the dumps.,71,2,2,2,2,2
72. You take control of things.,72,3,3,3,3,3
73. You rarely notice your emotional reactions.,73,2,2,2,2,2
74. You are indifferent to the feelings of others.,74,2,2,2,2,2
75. You break rules.,75,2,2,2,2,2
76. You only feel comfortable with friends.,76,2,3,2,2,2
77. You do a lot in your spare time.,77,4,4,4,4,4
78. You dislike changes.,78,3,3,3,3,3
79. You insult people.,79,1,1,1,1,1
80. You do just enough work to get by.,80,2,2,2,2,2
81. You easily resist temptations.,81,4,3,4,4,3
82. You enjoy being reckless.,82,2,2,2,1,2
83. You have difficulty understanding abstract ideas.,83,3,3,2,3,3
84. You have a high opinion of yourself.,84,3,2,2,3,2
85. You waste your time.,85,2,2,2,2,2
86. You feel that i'm unable to deal with things.,86,2,2,2,2,2
87. You love life.,87,4,4,4,4,4
88. You tend to vote for conservative political candidates.,88,3,3,3,3,3
89. You are not interested in other people's problems.,89,2,2,2,2,2
90. You rush into things.,90,2,2,2,2,2
91. You get stressed out easily.,91,3,3,3,3,3
92. You keep others at a distance.,92,4,4,4,4,3
93. You like to get lost in thought.,93,5,5,4,5,5
94. You distrust people.,94,3,3,3,3,3
95. You know how to get things done.,95,5,5,5,4,5
96. You are not easily annoyed.,96,4,4,4,4,4
97. You avoid crowds.,97,5,5,5,5,5
98. You do not enjoy going to art museums.,98,3,3,3,3,3
99. You obstruct others' plans.,99,1,1,1,1,2
100. You leave your belongings around.,100,2,2,2,2,2
101. You feel comfortable with yourself.,101,5,5,5,5,5
102. You wait for others to lead the way.,102,2,2,2,2,2
103. You don't understand people who get emotional.,103,3,3,3,3,3
104. You take no time for others.,104,2,2,2,2,2
105. You break your promises.,105,2,2,1,2,2
106. You are not bothered by difficult social situations.,106,3,3,3,3,3
107. You like to take it easy.,107,5,5,4,5,5
108. You are attached to conventional ways.,108,2,2,2,2,2
109. You get back at others.,109,2,2,2,1,2
110. You put little time and effort into your work.,110,1,1,1,1,1
111. You are able to control your cravings.,111,4,4,4,4,4
112. You act wild and crazy.,112,1,1,1,2,2
113. You are not interested in theoretical discussions.,113,2,4,4,4,4
114. You boast about your virtues.,114,1,2,2,2,2
115. You have difficulty starting tasks.,115,3,3,3,3,3
116. You remain calm under pressure.,116,4,4,4,4,4
117. You look at the bright side of life.,117,4,4,4,4,4
118. You believe that we should be tough on crime.,118,3,3,3,3,3
119. You try not to think about the needy.,119,3,3,3,2,2
120. You act without thinking.,120,2,2,2,2,2
