"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,2,2,1,1,1
2. You make friends easily.,2,3,3,2,2,2
3. You have a vivid imagination.,3,3,3,3,3,3
4. You trust others.,4,2,2,2,2,2
5. You complete tasks successfully.,5,3,4,3,4,4
6. You get angry easily.,6,2,2,3,2,2
7. You love large parties.,7,2,2,2,2,3
8. You believe in the importance of art.,8,3,3,3,3,3
9. You use others for your own ends.,9,5,5,5,5,5
10. You like to tidy up.,10,1,2,1,3,2
11. You often feel blue.,11,3,3,3,3,3
12. You take charge.,12,5,5,5,5,5
13. You experience your emotions intensely.,13,3,3,3,3,4
14. You love to help others.,14,1,1,1,1,1
15. You keep your promises.,15,3,3,3,3,3
16. You find it difficult to approach others.,16,2,2,2,2,2
17. You are always busy.,17,4,4,3,4,3
18. You prefer variety to routine.,18,5,5,5,5,5
19. You love a good fight.,19,5,5,5,5,5
20. You work hard.,20,3,3,3,3,3
21. You go on binges.,21,3,3,3,3,3
22. You love excitement.,22,5,5,5,5,5
23. You love to read challenging material.,23,3,3,3,3,3
24. You believe that you are better than others.,24,5,5,5,5,5
25. You are always prepared.,25,3,3,3,3,3
26. You panic easily.,26,1,2,1,1,1
27. You radiate joy.,27,1,1,1,1,1
28. You tend to vote for liberal political candidates.,28,3,3,3,3,3
29. You sympathize with the homeless.,29,3,3,3,3,3
30. You jump into things without thinking.,30,2,2,2,2,2
31. You fear for the worst.,31,2,1,2,2,2
32. You feel comfortable around other people.,32,3,3,3,3,3
33. You enjoy wild flights of fancy.,33,4,3,3,4,4
34. You believe that others have good intentions.,34,2,2,2,2,2
35. You excel in what you do.,35,4,5,5,5,5
36. You get irritated easily.,36,4,4,4,4,2
37. You talk to a lot of different people at parties.,37,4,4,4,4,4
38. You see beauty in things that others might not notice.,38,4,4,4,4,4
39. You cheat to get ahead.,39,1,1,1,1,1
40. You often forget to put things back in their proper place.,40,3,3,3,3,3
