"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,4,4,4,4,4
2. You make friends easily.,2,2,2,2,2,2
3. You have a vivid imagination.,3,1,1,1,1,1
4. You trust others.,4,2,2,2,2,2
5. You complete tasks successfully.,5,4,4,4,4,4
6. You get angry easily.,6,2,3,2,2,2
7. You love large parties.,7,1,1,1,1,1
8. You believe in the importance of art.,8,2,2,2,2,2
9. You use others for your own ends.,9,2,2,1,1,1
10. You like to tidy up.,10,4,4,4,4,4
11. You often feel blue.,11,3,2,3,2,2
12. You take charge.,12,2,4,2,2,2
13. You experience your emotions intensely.,13,2,2,2,2,2
14. You love to help others.,14,3,3,3,3,3
15. You keep your promises.,15,5,5,5,5,5
16. You find it difficult to approach others.,16,2,4,4,2,4
17. You are always busy.,17,4,4,3,3,2
18. You prefer variety to routine.,18,1,1,1,1,1
19. You love a good fight.,19,1,1,2,1,1
20. You work hard.,20,5,4,4,4,5
21. You go on binges.,21,1,2,1,2,2
22. You love excitement.,22,1,1,1,1,1
23. You love to read challenging material.,23,1,1,1,1,1
24. You believe that you are better than others.,24,1,2,2,2,2
25. You are always prepared.,25,2,2,3,4,3
26. You panic easily.,26,2,2,2,2,2
27. You radiate joy.,27,2,2,2,2,2
28. You tend to vote for liberal political candidates.,28,1,1,1,1,1
29. You sympathize with the homeless.,29,4,4,4,4,4
30. You jump into things without thinking.,30,1,1,1,1,1
31. You fear for the worst.,31,5,5,5,5,5
32. You feel comfortable around other people.,32,2,2,2,2,2
33. You enjoy wild flights of fancy.,33,1,1,1,1,1
34. You believe that others have good intentions.,34,2,2,2,2,2
35. You excel in what you do.,35,3,3,3,3,3
36. You get irritated easily.,36,2,3,2,2,2
37. You talk to a lot of different people at parties.,37,1,1,1,2,1
38. You see beauty in things that others might not notice.,38,2,2,2,2,2
39. You cheat to get ahead.,39,1,1,1,1,1
40. You often forget to put things back in their proper place.,40,2,2,2,2,2
41. You dislike yourself.,41,1,2,1,1,2
42. You try to lead others.,42,2,2,2,2,2
43. You feel others' emotions.,43,2,2,2,2,2
44. You are concerned about others.,44,3,4,3,3,4
45. You tell the truth.,45,5,5,5,5,5
46. You are afraid to draw attention to yourself.,46,5,5,5,5,5
47. You are always on the go.,47,2,2,2,2,2
48. You prefer to stick with things that you know.,48,5,5,5,5,5
49. You yell at people.,49,1,1,1,2,1
50. You do more than what's expected ofyou.,50,2,2,2,2,2
51. You rarely overindulge.,51,4,4,5,4,4
52. You seek adventure.,52,1,1,1,1,1
53. You avoid philosophical discussions.,53,1,5,2,1,1
54. You think highly of yourself.,54,2,3,2,3,2
55. You carry out your plans.,55,4,4,4,4,4
56. You become overwhelmed by events.,56,2,2,2,3,2
57. You have a lot of fun.,57,2,2,2,2,2
58. You believe that there is no absolute right or wrong.,58,1,1,1,1,1
59. You feel sympathy for those who are worse off than yourself.,59,4,4,4,4,4
60. You make rash decisions.,60,2,1,2,2,2
61. You are afraid of many things.,61,2,2,3,2,2
62. You avoid contacts with others.,62,2,1,1,2,2
63. You love to daydream.,63,1,1,1,1,1
64. You trust what people say.,64,3,3,4,4,3
65. You handle tasks smoothly.,65,2,2,3,3,3
66. You lose your temper.,66,2,2,2,2,2
67. You prefer to be alone.,67,4,2,4,4,4
68. You do not like poetry.,68,2,2,1,1,2
69. You take advantage of others.,69,1,1,1,1,1
70. You leave a mess in your room.,70,2,2,2,2,2
71. You are often down in the dumps.,71,2,2,2,2,2
72. You take control of things.,72,4,4,4,4,4
73. You rarely notice your emotional reactions.,73,2,2,2,2,2
74. You are indifferent to the feelings of others.,74,2,1,2,1,1
75. You break rules.,75,1,1,1,1,1
76. You only feel comfortable with friends.,76,2,2,4,4,4
77. You do a lot in your spare time.,77,2,2,2,2,2
78. You dislike changes.,78,5,5,5,5,5
79. You insult people.,79,1,1,1,1,1
80. You do just enough work to get by.,80,2,3,2,2,2
81. You easily resist temptations.,81,4,4,4,4,4
82. You enjoy being reckless.,82,1,1,1,1,1
83. You have difficulty understanding abstract ideas.,83,2,4,4,2,5
84. You have a high opinion of yourself.,84,2,2,2,2,2
85. You waste your time.,85,2,2,2,2,2
86. You feel that i'm unable to deal with things.,86,2,2,2,2,2
87. You love life.,87,3,2,3,3,3
88. You tend to vote for conservative political candidates.,88,5,5,5,4,5
89. You are not interested in other people's problems.,89,1,1,2,2,5
90. You rush into things.,90,2,1,2,2,2
91. You get stressed out easily.,91,2,3,3,3,4
92. You keep others at a distance.,92,2,2,4,2,2
93. You like to get lost in thought.,93,1,1,1,1,1
94. You distrust people.,94,2,5,4,2,4
95. You know how to get things done.,95,4,4,4,4,4
96. You are not easily annoyed.,96,2,2,2,2,2
97. You avoid crowds.,97,4,4,4,4,4
98. You do not enjoy going to art museums.,98,5,5,5,5,1
99. You obstruct others' plans.,99,1,1,1,1,1
100. You leave your belongings around.,100,1,1,2,1,1
101. You feel comfortable with yourself.,101,3,3,3,3,3
102. You wait for others to lead the way.,102,2,4,2,2,4
103. You don't understand people who get emotional.,103,2,2,2,2,2
104. You take no time for others.,104,2,2,2,2,1
105. You break your promises.,105,1,1,1,2,1
106. You are not bothered by difficult social situations.,106,2,2,2,2,2
107. You like to take it easy.,107,2,2,3,2,2
108. You are attached to conventional ways.,108,5,5,5,5,5
109. You get back at others.,109,1,2,2,2,2
110. You put little time and effort into your work.,110,2,2,2,2,2
111. You are able to control your cravings.,111,4,4,4,4,4
112. You act wild and crazy.,112,1,1,1,1,1
113. You are not interested in theoretical discussions.,113,1,2,2,1,1
114. You boast about your virtues.,114,1,1,1,1,2
115. You have difficulty starting tasks.,115,2,2,2,2,2
116. You remain calm under pressure.,116,3,3,3,3,3
117. You look at the bright side of life.,117,2,2,2,2,2
118. You believe that we should be tough on crime.,118,5,5,5,5,5
119. You try not to think about the needy.,119,2,1,2,2,1
120. You act without thinking.,120,2,2,2,2,2
